id	like	following	followers	post	celeb	sex	pic_vid	pCo	hashtag	content	predict
naomipricee	2,636 likes	@ohpolly 💕💐💘🍬	True	https://instagram.ftlv2-1.fna.fbcdn.net/v/t51.2885-15/281558400_5380173515367160_8268765479408128481_n.jpg?stp=dst-webp_e15_p640x640&cb=9ad74b5e-be52112b&_nc_ht=instagram.ftlv2-1.fna.fbcdn.net&_nc_cat=104&_nc_ohc=-7y3HuS3SKEAX-_l6ZN&edm=AI8qBrIBAAAA&ccb=7-5&ig_cache_key=Mjg0MjIyODk4NjcwMjI4MDkxOA%3D%3D.2-ccb7-5&oh=00_AT_2VZplaicEeW-JJPATh0AtuZ8ZWabO-Ixs3z5CO5xgdA&oe=62915E03&_nc_sid=a0bfed	61	637	
neven.khoury.93	1,311	💜🖤	False	https://instagram.ftlv2-1.fna.fbcdn.net/v/t51.2885-15/281558400_5380173515367160_8268765479408128481_n.jpg?stp=dst-webp_e15_p640x640&cb=9ad74b5e-be52112b&_nc_ht=instagram.ftlv2-1.fna.fbcdn.net&_nc_cat=104&_nc_ohc=-7y3HuS3SKEAX-_l6ZN&edm=AI8qBrIBAAAA&ccb=7-5&ig_cache_key=Mjg0MjIyODk4NjcwMjI4MDkxOA%3D%3D.2-ccb7-5&oh=00_AT_2VZplaicEeW-JJPATh0AtuZ8ZWabO-Ixs3z5CO5xgdA&oe=62915E03&_nc_sid=a0bfed	7870	455	
_hadarfadida	1,676	פשוט חלום✨	False	https://instagram.ftlv2-1.fna.fbcdn.net/v/t51.2885-15/281558400_5380173515367160_8268765479408128481_n.jpg?stp=dst-webp_e15_p640x640&cb=9ad74b5e-be52112b&_nc_ht=instagram.ftlv2-1.fna.fbcdn.net&_nc_cat=104&_nc_ohc=-7y3HuS3SKEAX-_l6ZN&edm=AI8qBrIBAAAA&ccb=7-5&ig_cache_key=Mjg0MjIyODk4NjcwMjI4MDkxOA%3D%3D.2-ccb7-5&oh=00_AT_2VZplaicEeW-JJPATh0AtuZ8ZWabO-Ixs3z5CO5xgdA&oe=62915E03&_nc_sid=a0bfed	2000	428	
ronatias_	733	מפה לשם חייב כינרת בעצמאות ✌🏻	False	https://instagram.ftlv2-1.fna.fbcdn.net/v/t51.2885-15/281558400_5380173515367160_8268765479408128481_n.jpg?stp=dst-webp_e15_p640x640&cb=9ad74b5e-be52112b&_nc_ht=instagram.ftlv2-1.fna.fbcdn.net&_nc_cat=104&_nc_ohc=-7y3HuS3SKEAX-_l6ZN&edm=AI8qBrIBAAAA&ccb=7-5&ig_cache_key=Mjg0MjIyODk4NjcwMjI4MDkxOA%3D%3D.2-ccb7-5&oh=00_AT_2VZplaicEeW-JJPATh0AtuZ8ZWabO-Ixs3z5CO5xgdA&oe=62915E03&_nc_sid=a0bfed	232	743	8490
francesco_colucci_vm	39 likes	"🖊👁‍🗨Graffiti couture 👁‍🗨🖊
#italy #traidwindowlove #lovemyjob #sustainablefashion #fashion #charityshop #secondhand #development #fashiondesigner #artwork #londonfashion #stylist #instagram #londonart #fashionworld #london #installation #instagram #italiandoitbetter #gayartist #fashioneditorial #avantgardfashion #voguemagazine #world #japan"	False	https://instagram.ftlv2-1.fna.fbcdn.net/v/t51.2885-15/281558400_5380173515367160_8268765479408128481_n.jpg?stp=dst-webp_e15_p640x640&cb=9ad74b5e-be52112b&_nc_ht=instagram.ftlv2-1.fna.fbcdn.net&_nc_cat=104&_nc_ohc=-7y3HuS3SKEAX-_l6ZN&edm=AI8qBrIBAAAA&ccb=7-5&ig_cache_key=Mjg0MjIyODk4NjcwMjI4MDkxOA%3D%3D.2-ccb7-5&oh=00_AT_2VZplaicEeW-JJPATh0AtuZ8ZWabO-Ixs3z5CO5xgdA&oe=62915E03&_nc_sid=a0bfed	1682	3930	
soll_rizada	3,610 likes	"Close The Window Thats Hurts You,No Matter How Beautiful The View Is👌🏽😎
#modelomasculino #beautiful #estiloso #malemodels #passarelas #belezanatural #passarela #agenciademodelos #modelofotográfico #modelofotografico #model #beleza #homemfashion #moda #photoshooting #estilo #modelphotography #modelotop #photomodeling #brazilianmodels #modelando #photosession #modelobrasileiro #modelos #photomodel #bonito #modelotime #modelo #malemodel"	False	https://instagram.ftlv2-1.fna.fbcdn.net/v/t51.2885-15/281558400_5380173515367160_8268765479408128481_n.jpg?stp=dst-webp_e15_p640x640&cb=9ad74b5e-be52112b&_nc_ht=instagram.ftlv2-1.fna.fbcdn.net&_nc_cat=104&_nc_ohc=-7y3HuS3SKEAX-_l6ZN&edm=AI8qBrIBAAAA&ccb=7-5&ig_cache_key=Mjg0MjIyODk4NjcwMjI4MDkxOA%3D%3D.2-ccb7-5&oh=00_AT_2VZplaicEeW-JJPATh0AtuZ8ZWabO-Ixs3z5CO5xgdA&oe=62915E03&_nc_sid=a0bfed	841	895	
koralsun	2,860	🙊	False	https://instagram.ftlv2-1.fna.fbcdn.net/v/t51.2885-15/281558400_5380173515367160_8268765479408128481_n.jpg?stp=dst-webp_e15_p640x640&cb=9ad74b5e-be52112b&_nc_ht=instagram.ftlv2-1.fna.fbcdn.net&_nc_cat=104&_nc_ohc=-7y3HuS3SKEAX-_l6ZN&edm=AI8qBrIBAAAA&ccb=7-5&ig_cache_key=Mjg0MjIyODk4NjcwMjI4MDkxOA%3D%3D.2-ccb7-5&oh=00_AT_2VZplaicEeW-JJPATh0AtuZ8ZWabO-Ixs3z5CO5xgdA&oe=62915E03&_nc_sid=a0bfed	773	607	
hani_cohen_vaknin		"🖤hani💟bikini🖤להזמנות וברורים לגבי מידות וזמני משלוחים:052-7772099
ניתן להגיע למדוד בתיאום מראש"	False		6d	3899	869	
shira.elimelech_		יאלה שבוע גדנ״ע🧳🧨⚔️	False		2w	187	441	2314
vijayrawat_100k		"#marriedlife #marriagegoals #ilovemyhusband #mywife #married #myman #marriage #wifey #husbandandwife #wife
#comedy#funny#followforfollowback
#followers #viral #igtv #instagram#gobinds"	True	True		3d	762	225	104000
amily.bel	1994	חייבת להפסיק להצטלם במקומות מוזרים 😋	False	"<selenium.webdriver.remote.webelement.WebElement (session=""8f035c61749840765e04e08a2f55ca45"", element=""a9df5c44-697f-4913-9bd5-ecefa8ff86a1"")>"	5d	108	196	14200
k___kicks	262	"New sneakers.
Nike Air Jordan 5 Low × CLOT ""Jade 5 Low""

実物の良さ最高です🤩
ヒールロゴの23がニ三なのもまた渋い👟
このCLOTもあまり人気無いみたいですけど
僕はだいぶ好きです🥰"	False	"<selenium.webdriver.remote.webelement.WebElement (session=""8f035c61749840765e04e08a2f55ca45"", element=""995adb3e-ccc8-42e1-86b2-08c76e24032c"")>"	1d	398	161	2830
michal_krits	930	Aloha 🌴	False	"<selenium.webdriver.remote.webelement.WebElement (session=""8f035c61749840765e04e08a2f55ca45"", element=""f8ab3684-cdf2-40cb-ba86-477ca770dccb"")>"	7h	899	660	62800
karin_abelman	3314	"אחת החוויותתתתתתת! תודה על הזכות להנות באמת מ-ה-כ-ל בשירות הצבאי שלי💗
🎥: @levi_segal"	True	"<selenium.webdriver.remote.webelement.WebElement (session=""8f035c61749840765e04e08a2f55ca45"", element=""fe5d27b2-177f-4842-892a-ee70f7a094e0"")>"	3d	247	975	20900
969dder	6474	"The new Air Force One uses Chinese tea to make new colors🍵

#nike #nikeshoes #nikebyyou #nikedunk #nikesb #nikeairforce1 #nikesportswear #airforce1 #snobshots #hypeaf #sneakerholics #outfitsociety #hypedheaven #streetbeast
#streetcentral #kickfeed #trillestoutfit
#hypedstreets #fitrotation #hypelife
#sneakermyth #complexstyle
#complexkicks #goldengrails #soletoday
#fitsonpoint #beststreetoutfit"	False	"<selenium.webdriver.remote.webelement.WebElement (session=""8f035c61749840765e04e08a2f55ca45"", element=""ca37d480-ba24-4ba8-ab56-02d8edac4e07"")>"	5d	128	280	8431
sherinxbeautyy	16050	"💙💙💙🙌🏼

•
•
•
•

#sherin #sherinfans #sherinsbeauty #sherinamara #sherinbeauty #sherins_beauty #sherin_beauty #thebeautyfamily #beauty #beautyfamily #beautyfamilyworld #sharshabel #narinsbeauty #narins_beauty #naro #nariño #narin #raghda #raghda_k #sister #sisters
#شيرين_بيوتي #شيرين #بيوتي #عائلة_بيوتي #فان #شيرين_عمارة #شرشبيل #شرشبيل😈😜 #نارين_بيوتي #نارين_بيوتي"	False	"<selenium.webdriver.remote.webelement.WebElement (session=""8f035c61749840765e04e08a2f55ca45"", element=""2ef48997-1c0d-45bc-aa5a-865387146636"")>"	6d	253	86	11600
sydglass_og		"the vibes are good 🦋

p.s. my top is from @shopcallaanngrace use code SYDNEY15 at checkout!!!💘"	False	"<selenium.webdriver.remote.webelement.WebElement (session=""8f035c61749840765e04e08a2f55ca45"", element=""dfebf84a-28d0-4563-80f2-f1b168096c25"")>"	2d	1548	936	15200
koralhatzbani	13574	🪩	False	"<selenium.webdriver.remote.webelement.WebElement (session=""8f035c61749840765e04e08a2f55ca45"", element=""1f884ad7-2a3f-4eeb-9b22-f0d13b2d8d50"")>"	4d	149	278	51800
_noyaester		😁	True	"<selenium.webdriver.remote.webelement.WebElement (session=""8f035c61749840765e04e08a2f55ca45"", element=""1ba85e84-9e31-432c-9c85-bf91cde566c6"")>"	1w	431	41	63100
